date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:43:20	110/110	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Sun,%2008%20Oct%202023%2020:43:20%20GMT	http://localhost:8000/robots.txt		(from )
23:43:20	159141/159141	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Oct%202023%2020:43:20%20GMT	http://localhost:8000/	localhost_8000/index.html	(from )
23:43:21	47264/47264	---M-Z	200	added ('OK')	text/css	etag:%22b8a0-607059bad6aa8-gzip%22	http://localhost:8000/wp-content/themes/astra/assets/css/minified/frontend.min.css?ver=4.3.1	localhost_8000/wp-content/themes/astra/assets/css/minified/frontend.min5b31.css	(from http://localhost:8000/)
23:43:22	104484/104484	---M-Z	200	added ('OK')	text/css	etag:%2219824-600d5209602c0-gzip%22	http://localhost:8000/wp-includes/css/dist/block-library/style.min.css?ver=6.3.1	localhost_8000/wp-includes/css/dist/block-library/style.min9b30.css	(from http://localhost:8000/)
23:43:23	1650/1650	---M-Z	200	added ('OK')	application/rss+xml	etag:%22ebdce854a9d005e0df5aaa43df173101-gzip%22	http://localhost:8000/comments/feed/	localhost_8000/comments/feed/index.html	(from http://localhost:8000/)
23:43:23	1906/1906	---M-Z	200	added ('OK')	application/rss+xml	etag:%22ebdce854a9d005e0df5aaa43df173101-gzip%22	http://localhost:8000/feed/	localhost_8000/feed/index.html	(from http://localhost:8000/)
23:43:23	19533/19533	---M-Z	200	added ('OK')	text/css	etag:%224c4d-60705a90c1889-gzip%22	http://localhost:8000/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.23.0	localhost_8000/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min192d.css	(from http://localhost:8000/)
23:43:24	117324/117324	---M-Z	200	added ('OK')	text/css	etag:%221ca4c-60705a907882f-gzip%22	http://localhost:8000/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.16.4	localhost_8000/wp-content/plugins/elementor/assets/css/frontend-lite.minafc7.css	(from http://localhost:8000/)
23:43:25	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-60705a90d8547-gzip%22	http://localhost:8000/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	localhost_8000/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from http://localhost:8000/)
23:43:26	1108/1108	---M-Z	200	added ('OK')	text/css	etag:%22454-60705ab51d05e-gzip%22	http://localhost:8000/wp-content/uploads/elementor/css/post-13.css?ver=1696570790	localhost_8000/wp-content/uploads/elementor/css/post-13a140.css	(from http://localhost:8000/)
23:43:27	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%22e7d0-60705a90c6278-gzip%22	http://localhost:8000/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.16.4	localhost_8000/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.minafc7.css	(from http://localhost:8000/)
23:43:28	26702/26702	---M-Z	200	added ('OK')	text/css	etag:%22684e-60705a90c836a-gzip%22	http://localhost:8000/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.16.4	localhost_8000/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.minafc7.css	(from http://localhost:8000/)
23:43:29	56506/56506	---M-Z	200	added ('OK')	text/css	etag:%22dcba-60737ffc094f2-gzip%22	http://localhost:8000/wp-content/uploads/elementor/css/post-205.css?ver=1696786955	localhost_8000/wp-content/uploads/elementor/css/post-2056ee7.css	(from http://localhost:8000/)
23:43:30	57912/57912	---M-Z	200	added ('OK')	text/css	etag:%22e238-60705a90c7184-gzip%22	http://localhost:8000/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	localhost_8000/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from http://localhost:8000/)
23:43:31	669/669	---M-Z	200	added ('OK')	text/css	etag:%2229d-60705a90c7a13-gzip%22	http://localhost:8000/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	localhost_8000/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from http://localhost:8000/)
23:43:32	15055/15055	---M-Z	200	added ('OK')	application/javascript	etag:%223acf-60705a90cd915-gzip%22	http://localhost:8000/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=3.16.4	localhost_8000/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.minafc7.js	(from http://localhost:8000/)
23:43:35	792/792	---M-Z	200	added ('OK')	text/xml	date:Sun,%2008%20Oct%202023%2020:43:34%20GMT	http://localhost:8000/xmlrpc.php?rsd	localhost_8000/xmlrpc0db0.php	(from http://localhost:8000/)
23:43:37	2516/2516	---M--	200	added ('OK')	application/json	date:Sun,%2008%20Oct%202023%2020:43:35%20GMT	http://localhost:8000/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%3A8000%2F	localhost_8000/wp-json/oembed/1.0/embed17b0.json	(from http://localhost:8000/)
23:43:39	1653/1653	---M--	200	added ('OK')	image/png	etag:%22675-6072cbe32daa2%22	http://localhost:8000/wp-content/uploads/2023/10/cropped-GBS-Logo-e1696570701961-32x32.png	localhost_8000/wp-content/uploads/2023/10/cropped-GBS-Logo-e1696570701961-32x32.png	(from http://localhost:8000/)
23:43:39	2611/2611	---M-Z	200	added ('OK')	text/xml	date:Sun,%2008%20Oct%202023%2020:43:36%20GMT	http://localhost:8000/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%3A8000%2F&format=xml	localhost_8000/wp-json/oembed/1.0/embedf57d	(from http://localhost:8000/)
